"","count","n","col5","col4","col3","col2","col1","output"
"80",84,6,"g","protein","g","carbohydrate","g","fat"
"81",84,6,"let","us","know","what","you","think"
"82",82,6,"for","the","first","time","in","a"
"83",82,6,"for","the","rest","of","the","day"
"84",82,6,"the","rock","and","roll","hall","of"
"85",81,6,"g","carbohydrate","g","fat","g","saturated"
"86",81,6,"protein","g","carbohydrate","g","fat","g"
"87",80,6,"for","a","chance","to","win","a"
"88",80,6,"what","are","you","going","to","do"
"89",79,6,"at","the","end","of","the","season"
"90",79,6,"carbohydrate","g","fat","g","saturated","mg"
"91",79,6,"fat","g","saturated","mg","cholesterol","mg"
"92",79,6,"g","fat","g","saturated","mg","cholesterol"
"93",79,6,"g","saturated","mg","cholesterol","mg","sodium"
"94",79,6,"to","be","a","part","of","the"
"95",78,6,"in","the","first","round","of","the"
"96",77,6,"thanks","to","everyone","who","came","out"
"97",74,6,"for","the","rest","of","my","life"
"98",72,6,"get","real","rewards","just","for","watching"
"99",72,6,"real","rewards","just","for","watching","tv"
"100",70,6,"for","the","first","time","in","years"
"101",70,6,"let","me","know","if","you","need"
"102",70,6,"serving","calories","g","protein","g","carbohydrate"
"103",68,6,"by","the","end","of","the","day"
"104",68,6,"to","be","a","part","of","it"
"105",67,6,"per","serving","calories","g","protein","g"
"106",66,6,"mg","cholesterol","mg","sodium","g","fiber"
"107",66,6,"on","the","new","york","stock","exchange"
"108",66,6,"saturated","mg","cholesterol","mg","sodium","g"
"109",66,6,"ã","ã","ã","ã","ã","ã"
"110",64,6,"it","would","mean","the","world","to"
"111",64,6,"trying","to","figure","out","how","to"
"112",62,6,"centers","for","disease","control","and","prevention"
"113",62,6,"i","can't","wait","to","see","what"
"114",62,6,"i","don't","know","about","you","but"
"115",62,6,"up","in","the","middle","of","the"
"116",61,6,"on","the","side","of","the","road"
"117",60,6,"by","the","end","of","the","week"
"118",60,6,"cake","cake","cake","cake","cake","cake"
"119",60,6,"it","has","nothing","to","do","with"
"120",60,6,"let","me","know","if","you","have"
"121",59,6,"i","hope","you","have","a","great"
"122",58,6,"somebody","that","i","used","to","know"
"123",56,6,"a","lot","of","work","to","do"
"124",56,6,"by","the","end","of","the","month"
"125",56,6,"finished","a","mi","run","with","a"
"126",56,6,"hope","all","is","well","with","you"
"127",56,6,"matt","hunter","matt","hunter","matt","hunter"
"128",56,6,"of","new","york","and","new","jersey"
"129",56,6,"one","of","my","all","time","favorite"
"130",55,6,"it","is","going","to","be","a"
"131",55,6,"style","background","none","repeat","scroll","yellow"
"132",54,6,"thank","you","so","much","for","your"
"133",54,6,"the","girl","with","the","dragon","tattoo"
"134",53,6,"authority","of","new","york","and","new"
"135",53,6,"i","don't","know","what","to","do"
"136",53,6,"i","want","to","be","able","to"
"137",53,6,"ðÿ","ðÿ","ðÿ","ðÿ","ðÿ","ðÿ"
"138",52,6,"a","mi","run","with","nike","gps"
"139",52,6,"a","time","of","with","nike","gps"
"140",52,6,"background","none","repeat","scroll","yellow","class"
"141",52,6,"finished","a","mi","run","with","nike"
"142",52,6,"for","the","rest","of","your","life"
"143",52,6,"itâ","s","going","to","be","a"
"144",52,6,"only","a","matter","of","time","before"
"145",52,6,"port","authority","of","new","york","and"
"146",52,6,"span","style","background","none","repeat","scroll"
"147",52,6,"the","port","authority","of","new","york"
"148",52,6,"today","is","going","to","be","a"
"149",52,6,"when","was","the","last","time","you"
"150",51,6,"ass","ass","ass","ass","ass","ass"
"151",51,6,"for","those","of","you","who","are"
"152",51,6,"would","mean","the","world","to","me"
"153",50,6,"s","o","to","my","new","follower"
"154",49,6,"at","the","end","of","the","tunnel"
"155",49,6,"in","the","first","three","months","of"
"156",49,6,"light","at","the","end","of","the"
"157",49,6,"to","everyone","who","came","out","to"
"158",48,6,"at","the","end","of","the","first"
"159",48,6,"for","the","first","time","since","the"
"160",48,6,"free","and","open","to","the","public"
"161",48,6,"has","nothing","to","do","with","the"
"162",48,6,"hunter","matt","hunter","matt","hunter","matt"
"163",48,6,"it's","going","to","be","a","great"
"164",48,6,"it","will","be","interesting","to","see"
"165",48,6,"let","us","know","if","you","need"
"166",48,6,"thanks","for","following","me","on","twitter"
"167",48,6,"thanks","so","much","for","the","follow"
"168",48,6,"the","end","of","the","day","i"
"169",48,6,"the","university","of","chicago","chicago","illinois"
"170",47,6,"a","year","old","resident","of","the"
"171",47,6,"but","at","the","same","time","i"
"172",47,6,"first","time","in","a","long","time"
"173",47,6,"if","you","are","looking","for","a"
"174",47,6,"in","the","back","of","my","mind"
"175",47,6,"spoke","on","condition","of","anonymity","because"
"176",47,6,"the","president","of","the","united","states"
"177",47,6,"we","look","forward","to","seeing","you"
"178",46,6,"all","i","have","to","do","is"
"179",46,6,"as","long@i","can","remember",NA,NA
"180",46,6,"between","a","man","and","a","woman"
"181",46,6,"can't","wait","to","see","what","you"
"182",46,6,"if","you","know","what","i","mean"
"183",46,6,"it","was","a","lot","of","fun"
"184",46,6,"old","resident","of","the","block","of"
"185",46,6,"radiotagr.com","wfuv","to","tag","this","song"
"186",46,6,"the","first","three","months","of","the"
"187",46,6,"year","old","resident","of","the","block"
"188",45,6,"a","step","in","the","right","direction"
"189",45,6,"and","at","the","end","of","the"
"190",45,6,"as","far@i","can","tell",NA,NA
"191",45,6,"at","the","other","end","of","the"
"192",45,6,"department","of","health","and","human","services"
"193",45,6,"first","three","months","of","the","year"
"194",45,6,"going","to","be","a","good","day"
"195",45,6,"had","a","great","time","at","the"
"196",45,6,"i","donâ","t","want","to","be"
"197",45,6,"i","love","you","so","so","so"
"198",45,6,"love","you","so","so","so","much"
"199",45,6,"the","end","of","the","school","year"
"200",45,6,"thought","it","would","be","fun","to"
"201",44,6,"faces","up","to","years","in","prison"
"202",44,6,"the","centers","for","disease","control","and"
"203",43,6,"for@long@i","can",NA,NA,NA,NA
"204",43,6,"for","the","rest","of","the","year"
"205",43,6,"is","going","to","be","a","great"
"206",43,6,"let","us","know","if","we","can"
"207",43,6,"may","the","fourth","be","with","you"
"208",43,6,"to","be","a","part","of","this"
"209",43,6,"what","do","you","think","of","the"
"210",42,6,"be","sure","to","check","out","the"
"211",42,6,"by","the","end","of","this","year"
"212",42,6,"have","a","long","way","to","go"
"213",42,6,"hi","hi","hi","hi","hi","hi"
"214",42,6,"hope","everyone","is","having","a","great"
"215",42,6,"hope","you","are","having","a","great"
"216",42,6,"if","i","do","say","so","myself"
"217",42,6,"it's","going","to","be","a","good"
"218",42,6,"it's","going","to","be","a","long"
"219",42,6,"it","was","going","to","be","a"
"220",42,6,"let","us","know","if","you","have"
"221",42,6,"may","the","4th","be","with","you"
"222",42,6,"the","first","round","of","the","playoffs"
"223",42,6,"to","the","other","side","of","the"
"224",41,6,"according","to","the","national","weather","service"
"225",41,6,"amp","lt","span","style","background","none"
"226",41,6,"each","and","every","one","of","you"
"227",41,6,"incorporated","in","item","b","above","pp"
"228",41,6,"know","if","you","have","any","questions"
"229",41,6,"let","me","know","if","i","can"
"230",41,6,"lt","span","style","background","none","repeat"
"231",41,6,"none","repeat","scroll","yellow","class","goog"
"232",41,6,"repeat","scroll","yellow","class","goog","spellcheck"
"233",41,6,"scroll","yellow","class","goog","spellcheck","word"
"234",41,6,"secretary","of","state","hillary","rodham","clinton"
"235",41,6,"the","first","time","in","a","long"
"236",41,6,"the","second","year","in","a","row"
"237",41,6,"yellow","class","goog","spellcheck","word","amp"
"238",40,6,"a","home","in","the","block","of"
"239",40,6,"am","i","the","only","one","that"
"240",40,6,"family","law","tip","of","the","day"
"241",40,6,"for","the","rest","of","the","week"
"242",40,6,"texas","family","law","tip","of","the"
"243",40,6,"thank","you","thank","you","thank","you"
"244",39,6,"hope","to","see","you","at","the"
"245",39,6,"hope","you","have","a","great","weekend"
"246",39,6,"i","can't","wait","to","see","you"
"247",39,6,"me","know","if","you","have","any"
"248",39,6,"not","going","to","be","able","to"
"249",39,6,"run","with","a","time","of","with"
"250",39,6,"thanks","to","all","who","came","out"
"251",39,6,"with","a","time","of","with","nike"
"252",38,6,"all","you","need","to","do","is"
"253",38,6,"don't","know","what","to","do","with"
"254",38,6,"hope","you","had","a","great","weekend"
"255",38,6,"i","just","met","you","and","this"
"256",38,6,"is","it","just","me","or","is"
"257",38,6,"just","met","you","and","this","is"
"258",38,6,"senate","president","stephen","sweeney","d","gloucester"
"259",38,6,"there","are","a","lot","of","people"
"260",38,6,"to","all","the","moms","out","there"
"261",37,6,"g","protein","g","fiber","mg","sodium"
"262",37,6,"had","nothing","to","do","with","the"
"263",37,6,"i","thought","i","was","going","to"
"264",37,6,"let","me","know","if","you","want"
"265",37,6,"what","am","i","going","to","do"
"266",37,6,"what","it","would","be","like","to"
"267",37,6,"â","œi","donâ","t","want","to"
"268",36,6,"all","i","had","to","do","was"
"269",36,6,"available","in","your","customer","area","now"
"270",36,6,"don't","know","about","you","but","i"
"271",36,6,"for","the","rest","of","the","season"
"272",36,6,"hey","i","just","met","you","and"
"273",36,6,"i","don't","know","what","it","is"
"274",36,6,"i","don't","want","to","go","to"
"275",36,6,"is","going","to","be","a","good"
"276",36,6,"met","you","and","this","is","crazy"
"277",36,6,"patient","protection","and","affordable","care","act"
"278",36,6,"thanks","so","much","for","the","rt"
"279",36,6,"the","first","time","in","my","life"
"280",35,6,"i'll","see","what","i","can","do"
"281",35,6,"i","thought","it","would","be","fun"
"282",35,6,"i","was","thinking","the","same","thing"
"283",35,6,"is","free","and","open","to","the"
"284",35,6,"is","no","such","thing@a",NA,NA
"285",35,6,"it's","available","in","your","customer","area"
"286",35,6,"make","the","world","a","better","place"
"287",35,6,"thoughts","and","prayers","go","out","to"
"288",35,6,"to","be","one","of","the","most"
"289",35,6,"will","be","the","death","of","me"
"290",34,6,"all","i","want","for","christmas","is"
"291",34,6,"calories","calories","from","fat","percent","of"
"292",34,6,"calories","from","fat","percent","of","total"
"293",34,6,"carbohydrate","g","protein","g","fiber","mg"
"294",34,6,"certified","wet","tshirt","contest","friday","club"
"295",34,6,"cholesterol","g","carbohydrate","g","protein","g"
"296",34,6,"club","drama","want","to","get","in"
"297",34,6,"contest","friday","club","drama","want","to"
"298",34,6,"drama","want","to","get","in","for"
"299",34,6,"for","following","the","hilltop","on","twitter"
"300",34,6,"friday","club","drama","want","to","get"
"301",34,6,"from","fat","percent","of","total","calories"
"302",34,6,"g1","certified","wet","tshirt","contest","friday"
"303",34,6,"g","carbohydrate","g","protein","g","fiber"
"304",34,6,"g","trans","fats","mg","cholesterol","g"
"305",34,6,"hope","to","see","you","again","soon"
"306",34,6,"i","am","going","to","have","to"
"307",34,6,"i","can't","wait","to","see","the"
"308",34,6,"i","donâ","t","know","what","to"
"309",34,6,"i","hope","you","all","had","a"
"310",34,6,"is","it","just","me","or","does"
"311",34,6,"just","wanted","to","let","you","know"
"312",34,6,"me","i","will","tell","you","how"
"313",34,6,"me","me","me","me","me","me"
"314",34,6,"mg","cholesterol","g","carbohydrate","g","protein"
"315",34,6,"respond","to","a","request","for","comment"
"316",34,6,"thanks","for","following","the","hilltop","on"
"317",34,6,"the","latest","in","a","series","of"
"318",34,6,"the","patient","protection","and","affordable","care"
"319",34,6,"to","do","with","the","fact","that"
"320",34,6,"tshirt","contest","friday","club","drama","want"
"321",34,6,"txt","me","i","will","tell","you"
"322",34,6,"want","to","get","in","for","free"
"323",34,6,"wet","tshirt","contest","friday","club","drama"
"324",33,6,"a","square","foot","home","with","pool"
"325",33,6,"at","the","end","of","the","week"
"326",33,6,"fat","g","saturated","g","trans","fats"
"327",33,6,"fat","percent","of","total","calories","g"
"328",33,6,"fats","mg","cholesterol","g","carbohydrate","g"
"329",33,6,"g","fat","g","saturated","g","trans"
"330",33,6,"g","saturated","g","trans","fats","mg"
"331",33,6,"i","donâ","t","know","how","to"
"332",33,6,"in","the","first","half","of","the"
"333",33,6,"is","one","of","the","most","important"
"334",33,6,"it","was","great","to","meet","you"
"335",33,6,"larceny","a","larceny","was","reported","at"
"336",33,6,"of","total","calories","g","fat","g"
"337",33,6,"percent","of","total","calories","g","fat"
"338",33,6,"s","o","to","my","new","followers"
"339",33,6,"saturated","g","trans","fats","mg","cholesterol"
"340",33,6,"thank","you","for","the","kind","words"
"341",33,6,"the","list","goes","on","and","on"
"342",33,6,"the","same","thing","over","and","over"
"343",33,6,"trans","fats","mg","cholesterol","g","carbohydrate"
"344",32,6,"a","mi","run","with","a","time"
"345",32,6,"a","year","and","a","half","ago"
"346",32,6,"and","on","wednesday","at","the","wallingford"
"347",32,6,"at","the","end","of","last","year"
"348",32,6,"at","the","end","of","the","game"
"349",32,6,"calories","g","fat","g","saturated","g"
"350",32,6,"can't","wait","to","see","you","in"
"351",32,6,"can","we","interview","you","and","on"
"352",32,6,"donâ","t","know","what","to","do"
"353",32,6,"for","the","first","time","in","my"
"354",32,6,"for","the","rest","of","his","life"
"355",32,6,"for","the","second","year","in","a"
"356",32,6,"harry","potter","and","the","deathly","hallows"
"357",32,6,"i","canâ","t","wait","to","see"
"358",32,6,"i","could","go","on","and","on"
"359",32,6,"i","donâ","t","think","itâ","s"
"360",32,6,"i","thought","i","was","the","only"
"361",32,6,"in","the","second","half","of","the"
"362",32,6,"interview","you","and","on","wednesday","at"
"363",32,6,"mi","run","with","a","time","of"
"364",32,6,"on","the","right","side","of","the"
"365",32,6,"on","wednesday","at","the","wallingford","ct"
"366",32,6,"please","please","please","please","please","please"
"367",32,6,"total","calories","g","fat","g","saturated"
"368",32,6,"was","pronounced","dead","at","the","scene"
"369",32,6,"we","interview","you","and","on","wednesday"
"370",32,6,"wednesday","at","the","wallingford","ct","show"
"371",32,6,"when","it","comes","down","to","it"
"372",32,6,"you","and","on","wednesday","at","the"
"373",31,6,"a","tweet","from","would","make","my"
"374",31,6,"and","sasha","can","they","sing","happy"
"375",31,6,"can","they","sing","happy","birthday","to"
"376",31,6,"cholesterol","g","protein","g","carbohydrates","g"
"377",31,6,"cost","damage","attacks","up","to","enemies"
"378",31,6,"day","to","all","the","moms","out"
"379",31,6,"don't","forget","to","follow","me","on"
"380",31,6,"for","the","first","time","in","the"
"381",31,6,"g","protein","g","carbohydrates","g","fiber"
"382",31,6,"getting","a","tweet","from","would","make"
"383",31,6,"glad","i'm","not","the","only","one"
"384",31,6,"have","a","lot","of","work","to"
"385",31,6,"kimberly","and","sasha","can","they","sing"
"386",31,6,"level","mp","cost","damage","attacks","up"
"387",31,6,"me","to","shoot","for","my","dreams"
"388",31,6,"mg","cholesterol","g","protein","g","carbohydrates"
"389",31,6,"miobi","taught","me","to","shoot","for"
"390",31,6,"mp","cost","damage","attacks","up","to"
"391",31,6,"my","number","so","call","me","maybe"
"392",31,6,"not","sure","how","i","feel","about"
"393",31,6,"of","the","post","dispatch","contributed","to"
"394",31,6,"of","the","united","states","of","america"
"395",31,6,"over","and","over","and","over","again"
"396",31,6,"sasha","can","they","sing","happy","birthday"
"397",31,6,"shoutout","to","kimberly","and","sasha","can"
"398",31,6,"taught","me","to","shoot","for","my"
"399",31,6,"thank","you","all","so","much","for"
"400",31,6,"the","essex","county","prosecutorâ","s","office"
"401",31,6,"the","post","dispatch","contributed","to","this"
"402",31,6,"they","sing","happy","birthday","to","her"
"403",31,6,"this","is","one","of","my","favorite"
"404",31,6,"to","be","one","of","the","best"
"405",31,6,"to","kimberly","and","sasha","can","they"
"406",31,6,"tweet","from","would","make","my","night"
"407",31,6,"we","have","a","new","server","ready"
"408",31,6,"what","it","means","to","be","a"
"409",31,6,"you","and","this","is","crazy","but"
"410",31,6,"â","he","said","â","œitâ","s"
"411",30,6,"and","i","donâ","t","want","to"
"412",30,6,"at","the","beginning","of","the","year"
"413",30,6,"at","the","end","of","this","month"
"414",30,6,"class","goog","spellcheck","word","amp","gt"
"415",30,6,"coffee","coffee","coffee","coffee","coffee","coffee"
"416",30,6,"for","the","first","time","in","his"
"417",30,6,"for","the","first","time","in","months"
"418",30,6,"for","those","of","you","who","have"
"419",30,6,"forget","to","follow","me","on","google"
"420",30,6,"g","carbohydrates","g","fiber","mg","sodium"
"421",30,6,"going","to","be","a","long","day"
"422",30,6,"hope","you","have","a","good","day"
"423",30,6,"i","am","a","huge","fan","of"
"424",30,6,"i","have","to","admit","that","i"
"425",30,6,"i","havenâ","t","been","able","to"
"426",30,6,"i","know","a","lot","of","people"
"427",30,6,"i","spent","a","lot","of","time"
"428",30,6,"is","off","to","a","great","start"
"429",30,6,"it","turned","out","to","be","a"
"430",30,6,"no","no","no","no","no","no"
"431",30,6,"off","the","top","of","my","head"
"432",30,6,"on","the","wrong","side","of","the"
"433",30,6,"post","dispatch","contributed","to","this","report"
"434",30,6,"protein","g","carbohydrates","g","fiber","mg"
"435",30,6,"thank","you","so","much","for","following"
"436",30,6,"this","is","the","first","time","i"
"437",30,6,"us","know","if","you","have","any"
"438",30,6,"x","x","x","x","x","x"
"439",29,6,"according","to","people","familiar","with","the"
"440",29,6,"and","let","me","know","what","you"
"441",29,6,"back","into","the","swing","of","things"
"442",29,6,"calories","g","fat","mg","cholesterol","g"
"443",29,6,"fat","mg","cholesterol","g","protein","g"
"444",29,6,"has","a","lot","to","do","with"
"445",29,6,"have","a","new","server","ready","vpn"
"446",29,6,"here's","my","number","so","call","me"
"447",29,6,"hope","you","have","an","amazing","day"
"448",29,6,"i","have","to","say","that","i"
"449",29,6,"i","love","you","with","all","my"
"450",29,6,"i","thought","it","would","be","a"
"451",29,6,"in","the","history","of","the","world"
"452",29,6,"in","the","run","up","to","the"
"453",29,6,"is","the","right","thing","to","do"
"454",29,6,"it","was","one","of","the","most"
"455",29,6,"iâ","m","going","to","have","to"
"456",29,6,"just","got","off","the","phone","with"
"457",29,6,"just","somebody","that","i","used","to"
"458",29,6,"knew","it","was","going","to","be"
"459",29,6,"of","million","or","cents","per","share"
"460",29,6,"omg","omg","omg","omg","omg","omg"
"461",29,6,"on","both","sides","of","the","ball"
"462",29,6,"roses","are","red","violets","are","blue"
"463",29,6,"said","in","a","statement","that","the"
"464",29,6,"thought","i","was","the","only","one"
"465",29,6,"want","to","be","a","part","of"
"466",29,6,"what","have","you","been","up","to"
"467",29,6,"where","have","you","been","all","my"
"468",28,6,"a","couple","of","weeks","ago","i"
"469",28,6,"add","boston","add","boston","add","boston"
"470",28,6,"anyone","with","information","is","asked","to"
"471",28,6,"as","i","thought","it","would","be"
"472",28,6,"at","the","start","of","the","season"
"473",28,6,"been","a","long","time","since","i"
"474",28,6,"before","the","end","of","the","year"
"475",28,6,"can","i","get","a","follow","back"
"476",28,6,"excited","to","be","a","part","of"
"477",28,6,"fiber","mg","sodium","percent","calories","from"
"478",28,6,"for","the","first","time","this","season"
"479",28,6,"for","the","rest","of","the","night"
"480",28,6,"from","the","point","of","view","of"
"481",28,6,"g","fat","mg","cholesterol","g","protein"
"482",28,6,"good","things","come","to","those","who"
"483",28,6,"has","to","be","one","of","the"
"484",28,6,"i'm","not","a","big","fan","of"
"485",28,6,"i","am","not","a","fan","of"
"486",28,6,"i","had","a","lot","of","fun"
"487",28,6,"i","hope","you","all","have","a"
"488",28,6,"i","knew","i","was","going","to"
"489",28,6,"i","love","you","i","love","you"
"490",28,6,"i","think","i","am","going","to"
"491",28,6,"if","you","have","any","questions","about"
"492",28,6,"mg","sodium","percent","calories","from","fat"
"493",28,6,"now","that","i","think","about","it"
"494",28,6,"on","the","new","york","mercantile","exchange"
"495",28,6,"president","and","chief","executive","officer","of"
"496",28,6,"that","has","nothing","to","do","with"
"497",28,6,"the","national","highway","traffic","safety","administration"
"498",28,6,"this","is","not","the","first","time"
"499",28,6,"today","is","the","first","day","of"
"500",28,6,"up","my","world","like","nobody","else"
"501",28,6,"was","arrested","in","the","block","of"
"502",28,6,"when","i","was","in","high","school"
"503",28,6,"you","light","up","my","world","like"
"504",27,6,"a","mi","run","with","a","pace"
"505",27,6,"at","the","bottom","of","this","post"
"506",27,6,"at","the","top","of","the","list"
"507",27,6,"award","winning","novel","gray","rainbow","journey"
"508",27,6,"carbohydrates","g","fiber","mg","sodium","percent"
"509",27,6,"didnâ","t","know","what","to","do"
"510",27,6,"dynamic","ip","pptp","l2tp","sstp","server"
"511",27,6,"for","the","rest","of","their","lives"
"512",27,6,"g","fiber","mg","sodium","percent","calories"
"513",27,6,"gray","rainbow","journey","limited","time","offer"
"514",27,6,"have","to","find","a","way","to"
"515",27,6,"have","you","been","all","my","life"
"516",27,6,"i","may","or","may","not","have"
"517",27,6,"i","thought","it","was","going","to"
"518",27,6,"i","want","to","go","to","the"
"519",27,6,"i","was","going","to","have","to"
"520",27,6,"ip","pptp","l2tp","sstp","server","in"
"521",27,6,"is","one","of","my","all","time"
"522",27,6,"it","was","only","a","matter","of"
"523",27,6,"novel","gray","rainbow","journey","limited","time"
"524",27,6,"on","condition","of","anonymity","because","the"
"525",27,6,"on","the","first","day","of","the"
"526",27,6,"on","the","other","end","of","the"
"527",27,6,"one","of","the","best","in","the"
"528",27,6,"or","cents","per","share","in","the"
"529",27,6,"paid","cash","for","a","square","foot"
"530",27,6,"potter","and","the","deathly","hallows","part"
"531",27,6,"rainbow","journey","limited","time","offer","contact"
"532",27,6,"serving","calories","g","fat","mg","cholesterol"
"533",27,6,"than","i","thought","it","would","be"
"534",27,6,"thank","you","to","everyone","who","came"
"535",27,6,"thanks","so","much","for","stopping","by"
"536",27,6,"the","end","of","the","day","we"
"537",27,6,"the","fact","of","the","matter","is"
"538",27,6,"the","john","smithâ","s","grand","national"
"539",27,6,"the","university","of","medicine","and","dentistry"
"540",27,6,"there","has","been","a","lot","of"
"541",27,6,"this","is","not","to","say","that"
"542",27,6,"this","is","one","of","the","most"
"543",27,6,"to","figure","out","a","way","to"
"544",27,6,"today","is","the","last","day","to"
"545",27,6,"was","only","a","matter","of","time"
"546",27,6,"was","reported","in","the","block","of"
"547",27,6,"was","sentenced","to","years","in","prison"
"548",27,6,"what","do","you","think","about","the"
"549",27,6,"what","to","do","what","to","do"
"550",27,6,"what","would","you","like","to","see"
"551",27,6,"who","spoke","on","condition","of","anonymity"
"552",27,6,"winning","novel","gray","rainbow","journey","limited"
"553",27,6,"with","the","securities","and","exchange","commission"
"554",26,6,"a","special","place","in","my","heart"
"555",26,6,"all","i","can","think","about","is"
"556",26,6,"are","just","a","few","of","the"
"557",26,6,"at","the","top","of","the","page"
"558",26,6,"at","the","world","famous","comic","strip"
"559",26,6,"book","award","winning","novel","gray","rainbow"
"560",26,6,"but","it","is","what","it","is"
"561",26,6,"c","c","c","c","c","c"
"562",26,6,"do","the","best","day","of","all"
"563",26,6,"don't","want","to","go","to","school"
"564",26,6,"donâ","t","get","me","wrong","i"
"565",26,6,"e","book","award","winning","novel","gray"
"566",26,6,"for","the","first","time","this","year"
"567",26,6,"for","with","runners","in","scoring","position"
"568",26,6,"free","e","book","award","winning","novel"
"569",26,6,"has","a","long","way","to","go"
"570",26,6,"hope","you","all","have","a","great"
"571",26,6,"i","am","going","to","try","to"
"572",26,6,"i","don't","even","know","what","to"
"573",26,6,"i","don't","have","to","worry","about"
"574",26,6,"i","hope","you","have","a","wonderful"
"575",26,6,"i","think","it's","going","to","be"
"576",26,6,"i","was","on","my","way","to"
"577",26,6,"i","would","do","the","best","day"
"578",26,6,"in","the","blink","of","an","eye"
"579",26,6,"in","the","middle","of","the","street"
"580",26,6,"in","the","next","couple","of","weeks"
"581",26,6,"is","what","i","came","up","with"
"582",26,6,"it's","been","a","long","time","since"
"583",26,6,"it","was","just","a","matter","of"
"584",26,6,"it","would","be","a","good","idea"
"585",26,6,"let","me","know","how","it","goes"
"586",26,6,"light","up","my","world","like","nobody"
"587",26,6,"majority","leader","harry","reid","d","nev"
"588",26,6,"one","of","the","most","important","things"
